日期,縣市,表燈非營業用電售電量(度),表燈非營業用電抄表戶數,表燈非營業用電佔比(%),表燈營業用電(住宅用)售電量(度),表燈營業用電(住宅用)抄表戶數,表燈營業用電(住宅用)用電佔比(%),無法歸類之家庭用電(電力用電)售電量(度),無法歸類之家庭用電(電力用電)抄表戶數,無法歸類之家庭用電(電力用電)用電佔比(%),合計
2023年05月,新北市,510670262,970023,0.1572,4478336,3276,0.2088,52619149,11337,0.2782,567767747
2023年05月,台北市,315933970,545108,0.0972,1553520,1510,0.0724,36592976,7684,0.1934,354080466
2023年05月,桃園市,300021025,568080,0.0923,2124279,1596,0.099,21801266,4004,0.1153,323946570
2023年05月,台中市,395920410,805906,0.1219,4087929,3401,0.1906,26490063,4876,0.14,426498402
2023年05月,台南市,279423360,639489,0.086,1432768,1521,0.0668,9309879,1527,0.0492,290166007
2023年05月,高雄市,440121996,972092,0.1355,2359032,2554,0.11,23484116,4531,0.1241,465965144
2023年05月,宜蘭縣,61991919,147103,0.0191,129601,132,0.006,1223019,317,0.0065,63344539
2023年05月,新竹縣,80536205,168462,0.0248,469762,439,0.0219,5125777,887,0.0271,86131744
2023年05月,苗栗縣,75921596,186254,0.0234,317022,454,0.0148,719401,202,0.0038,76958019
2023年05月,彰化縣,172148300,424343,0.053,1747370,2117,0.0815,1304368,407,0.0069,175200038
2023年05月,南投縣,59385797,140809,0.0183,361860,433,0.0169,287939,116,0.0015,60035596
2023年05月,雲林縣,105312344,277049,0.0324,524632,642,0.0245,386902,194,0.002,106223878
2023年05月,嘉義縣,71128026,186714,0.0219,398128,459,0.0186,226552,95,0.0012,71752706
2023年05月,屏東縣,129336499,293981,0.0398,647161,857,0.0302,1034629,357,0.0055,131018289
2023年05月,台東縣,28661992,61834,0.0088,84830,119,0.004,146967,65,0.0008,28893789
2023年05月,花蓮縣,45645126,95968,0.014,92651,55,0.0043,341943,148,0.0018,46079720
2023年05月,基隆市,42260970,90407,0.013,171697,232,0.008,2806300,924,0.0148,45238967
2023年05月,新竹市,70721446,138896,0.0218,237252,242,0.0111,4547347,941,0.024,75506045
2023年05月,嘉義市,36996286,83995,0.0114,125765,180,0.0059,621829,231,0.0033,37743880
2023年05月,澎湖縣,14182547,24999,0.0044,5665,2,0.0003,49527,19,0.0003,14237739
2023年05月,金門縣,10125733,18896,0.0031,73490,84,0.0034,34426,41,0.0002,10233649
2023年05月,連江縣,2493542,2067,0.0008,25889,18,0.0012,5904,11,0,2525335
2023年05月,合計,3248939351,6842475,1,21448639,20323,1,189160279,38914,1,3459548269
2023年04月,新北市,515924817,965947,0.164926719,3930135,3129,0.194176227,50628627,11317,0.278250093,570483579
2023年04月,台北市,295238120,511869,0.094379361,1433330,1467,0.070816553,35231391,7670,0.193628356,331902841
2023年04月,桃園市,355272515,646765,0.113570676,2333196,1737,0.115276243,21524361,3996,0.11829583,379130072
2023年04月,台中市,392290429,823438,0.125404266,4013417,3324,0.198290942,24946563,4863,0.137103925,421250409
2023年04月,台南市,264145839,629951,0.084440029,1513050,1643,0.07475528,8583365,1524,0.047173353,274242254
2023年04月,高雄市,302890975,749928,0.096825764,1773374,2173,0.087617111,22417225,4515,0.123202925,327081574
2023年04月,宜蘭縣,69567788,158973,0.022238874,241038,228,0.011908967,1256843,317,0.006907489,71065669
2023年04月,新竹縣,93764530,178630,0.029973895,509045,429,0.025150392,5059459,888,0.027806303,99333034
2023年04月,苗栗縣,70347336,170893,0.022488074,263567,311,0.013022058,710504,199,0.003904862,71321407
2023年04月,彰化縣,170729561,411094,0.05457746,1794627,2346,0.088667158,1263368,403,0.00694335,173787556
2023年04月,南投縣,71048987,171645,0.022712372,422153,508,0.020857318,272006,116,0.001494919,71743146
2023年04月,雲林縣,102204761,282431,0.032672,319834,443,0.015802042,359861,194,0.001977762,102884456
2023年04月,嘉義縣,63772384,179765,0.020386246,311337,379,0.015382231,212440,95,0.00116755,64296161
2023年04月,屏東縣,109127007,272166,0.034884849,545904,800,0.026971486,981251,355,0.005392862,110654162
2023年04月,台東縣,32149620,68572,0.010277333,101103,124,0.004995197,148459,65,0.000815916,32399182
2023年04月,花蓮縣,49480950,101215,0.015817674,68154,56,0.003367286,322356,148,0.001771638,49871460
2023年04月,基隆市,50588602,102998,0.01617176,193968,236,0.009583379,2637256,923,0.014494107,53419826
2023年04月,新竹市,61035889,116302,0.019511465,203419,223,0.010050325,4709169,942,0.025881143,65948477
2023年04月,嘉義市,34767628,83414,0.011114237,167751,187,0.008288076,603350,230,0.003315954,35538729
2023年04月,澎湖縣,12726466,25539,0.004068295,675,1,3.33497E-05,48150,19,0.000264628,12775291
2023年04月,金門縣,8998792,15128,0.002876662,80144,94,0.003959676,32303,41,0.000177534,9111239
2023年04月,連江縣,2133405,2361,0.00068199,20821,22,0.001028703,5368,11,2.9502E-05,2159594
2023年04月,合計,3128206401,6669024,1,20240042,19860,1,181953675,38831,1,3330400118
2023年03月,新北市,588126687,968037,0.1642,4433764,3292,0.2089,50872090,11306,0.281,643432541
2023年03月,台北市,357509750,544731,0.0998,1522744,1517,0.0717,34733548,7662,0.1919,393766042
2023年03月,桃園市,363808823,565877,0.1016,2180908,1604,0.1028,21385529,3980,0.1181,387375260
2023年03月,台中市,435538607,804188,0.1216,3989986,3417,0.188,25054545,4855,0.1384,464583138
2023年03月,台南市,291758577,637888,0.0815,1343672,1536,0.0633,8276925,1524,0.0457,301379174
2023年03月,高雄市,427134684,968620,0.1193,2212014,2576,0.1042,22199638,4509,0.1226,451546336
2023年03月,宜蘭縣,72412291,146831,0.0202,267626,290,0.0126,1240683,313,0.0069,73920600
2023年03月,新竹縣,95676420,167911,0.0267,461671,439,0.0218,5001668,888,0.0276,101139759
2023年03月,苗栗縣,88686596,185941,0.0248,334918,457,0.0158,723381,199,0.004,89744895
2023年03月,彰化縣,192361205,423214,0.0537,1794871,2131,0.0846,1258065,404,0.0069,195414141
2023年03月,南投縣,65737661,140528,0.0184,350795,437,0.0165,276339,116,0.0015,66364795
2023年03月,雲林縣,113033676,276527,0.0316,519917,646,0.0245,367785,195,0.002,113921378
2023年03月,嘉義縣,76742941,186372,0.0214,395276,466,0.0186,211220,94,0.0012,77349437
2023年03月,屏東縣,126916226,293379,0.0354,590987,863,0.0278,961211,353,0.0053,128468424
2023年03月,台東縣,30927268,61731,0.0086,89664,120,0.0042,153509,65,0.0008,31170441
2023年03月,花蓮縣,50150214,95834,0.014,87029,55,0.0041,326349,148,0.0018,50563592
2023年03月,基隆市,51648489,90335,0.0144,176131,235,0.0083,2705512,923,0.0149,54530132
2023年03月,新竹市,83255034,138747,0.0232,234311,243,0.011,4601878,941,0.0254,88091223
2023年03月,嘉義市,39397108,83849,0.011,129917,183,0.0061,600954,230,0.0033,40127979
2023年03月,澎湖縣,15817617,24918,0.0044,1140,2,0.0001,44277,18,0.0002,15863034
2023年03月,金門縣,12185239,18846,0.0034,79011,86,0.0037,35314,41,0.0002,12299564
2023年03月,連江縣,2916068,2058,0.0008,26908,18,0.0013,4940,11,0,2947916
2023年03月,合計,3581741181,6826362,1,21223260,20613,1,181035360,38775,1,3783999801
2023年02月,新北市,640985108,965135,0.1698,4395581,3141,0.1901,57521506,11292,0.2803,702902195
2023年02月,台北市,369121322,511224,0.0978,1637670,1488,0.0708,38620545,7654,0.1882,409379537
2023年02月,桃園市,446452515,645118,0.1182,2698625,1755,0.1167,24582687,3962,0.1198,473733827
2023年02月,台中市,469875209,820910,0.1244,4480682,3374,0.1938,29310143,4845,0.1428,503666034
2023年02月,台南市,313180333,628845,0.0829,1687315,1649,0.073,8962844,1525,0.0437,323830492
2023年02月,高雄市,353244900,748351,0.0936,1956470,2194,0.0846,25326135,4501,0.1234,380527505
2023年02月,宜蘭縣,88207278,158553,0.0234,427876,379,0.0185,1447274,312,0.0071,90082428
2023年02月,新竹縣,113525217,178043,0.0301,632525,432,0.0274,5620811,883,0.0274,119778553
2023年02月,苗栗縣,83408904,170497,0.0221,316455,317,0.0137,803417,198,0.0039,84528776
2023年02月,彰化縣,198272928,410261,0.0525,2011494,2360,0.087,1325293,400,0.0065,201609715
2023年02月,南投縣,86508304,171319,0.0229,487346,513,0.0211,318541,117,0.0016,87314191
2023年02月,雲林縣,111325217,281952,0.0295,372749,446,0.0161,416523,195,0.002,112114489
2023年02月,嘉義縣,70764667,179598,0.0187,356156,385,0.0154,246881,92,0.0012,71367704
2023年02月,屏東縣,124628436,271671,0.033,621825,815,0.0269,1086443,348,0.0053,126336704
2023年02月,台東縣,36821157,68427,0.0098,109998,124,0.0048,177066,66,0.0009,37108221
2023年02月,花蓮縣,58755583,101050,0.0156,72641,56,0.0031,382529,148,0.0019,59210753
2023年02月,基隆市,66002120,102938,0.0175,226950,241,0.0098,3156656,925,0.0154,69385726
2023年02月,新竹市,74550583,116174,0.0197,235966,228,0.0102,5119176,938,0.0249,79905725
2023年02月,嘉義市,42057584,83065,0.0111,190785,186,0.0083,707584,230,0.0034,42955953
2023年02月,澎湖縣,14868662,25440,0.0039,75420,77,0.0033,53989,18,0.0003,14998071
2023年02月,金門縣,10815522,15082,0.0029,98447,95,0.0043,32740,40,0.0002,10946709
2023年02月,連江縣,2545687,2348,0.0007,25410,23,0.0011,5332,11,0,2576429
2023年02月,合計,3775917236,6656001,1,23118386,20278,1,205224115,38700,1,4004259737
2023年01月,新北市,595373605,966300,0.1643,4989094,3320,0.2058,57376842,11276,0.2818,657739541
2023年01月,台北市,371116605,543889,0.1024,1752844,1541,0.0723,38462308,7641,0.1889,411331757
2023年01月,桃園市,349479408,565374,0.0965,2431852,1628,0.1003,24327711,3954,0.1195,376238971
2023年01月,台中市,442096055,802141,0.122,4581118,3473,0.189,28578688,4833,0.1404,475255861
2023年01月,台南市,298359943,636734,0.0823,1512591,1556,0.0624,8998935,1519,0.0442,308871469
2023年01月,高雄市,469227709,966736,0.1295,2577751,2607,0.1064,25192554,4492,0.1237,496998014
2023年01月,宜蘭縣,72856271,146612,0.0201,424382,426,0.0175,1425818,312,0.007,74706471
2023年01月,新竹縣,92287570,166986,0.0255,507985,440,0.021,5601284,881,0.0275,98396839
2023年01月,苗栗縣,85351290,185692,0.0236,370413,465,0.0153,782601,198,0.0038,86504304
2023年01月,彰化縣,183437353,422379,0.0506,2001958,2140,0.0826,1359072,401,0.0067,186798383
2023年01月,南投縣,66658378,140325,0.0184,395636,439,0.0163,312451,117,0.0015,67366465
2023年01月,雲林縣,104910192,276023,0.029,559467,649,0.0231,431347,196,0.0021,105901006
2023年01月,嘉義縣,73523788,185875,0.0203,434554,471,0.0179,241961,92,0.0012,74200303
2023年01月,屏東縣,134384914,292743,0.0371,674049,879,0.0278,1078440,348,0.0053,136137403
2023年01月,台東縣,31425906,61610,0.0087,93640,124,0.0039,168717,64,0.0008,31688263
2023年01月,花蓮縣,49741114,95711,0.0137,100082,56,0.0041,365189,147,0.0018,50206385
2023年01月,基隆市,51314001,90370,0.0142,199438,240,0.0082,3077693,924,0.0151,54591132
2023年01月,新竹市,81712145,138425,0.0226,257664,244,0.0106,5036974,936,0.0247,87006783
2023年01月,嘉義市,40393889,83699,0.0111,143737,186,0.0059,698203,230,0.0034,41235829
2023年01月,澎湖縣,15193142,24810,0.0042,117596,134,0.0049,58775,18,0.0003,15369513
2023年01月,金門縣,11440869,18772,0.0032,82363,86,0.0034,36211,41,0.0002,11559443
2023年01月,連江縣,2851158,2058,0.0008,28535,18,0.0012,6597,11,0,2886290
2023年01月,合計,3623135305,6813264,1,24236749,21122,1,203618371,38631,1,3850990425
2022年12月,新北市,513821108,963776,0.1617,4560993,3160,0.187,55292010,11257,0.279,573674111
2022年12月,台北市,303260069,510973,0.0954,1718776,1501,0.0705,38407684,7644,0.1938,343386529
2022年12月,桃園市,333226396,642826,0.1049,2735569,1765,0.1122,23342142,3925,0.1178,359304107
2022年12月,台中市,406016705,818671,0.1278,4765587,3393,0.1954,27873456,4821,0.1407,438655748
2022年12月,台南市,282918320,629272,0.089,1805822,1659,0.074,9178302,1518,0.0463,293902444
2022年12月,高雄市,347194687,746350,0.1093,2185933,2216,0.0896,24288539,4475,0.1226,373669159
2022年12月,宜蘭縣,68699518,157953,0.0216,422457,382,0.0173,1306694,311,0.0066,70428669
2022年12月,新竹縣,89631600,177366,0.0282,671525,432,0.0275,5312672,876,0.0268,95615797
2022年12月,苗栗縣,67580120,170228,0.0213,337013,322,0.0138,755270,193,0.0038,68672403
2022年12月,彰化縣,168568573,409516,0.053,2084109,2369,0.0854,1312302,399,0.0066,171964984
2022年12月,南投縣,72723216,170896,0.0229,524709,513,0.0215,300711,116,0.0015,73548636
2022年12月,雲林縣,95458900,281534,0.03,437040,451,0.0179,419441,196,0.0021,96315381
2022年12月,嘉義縣,61212001,179029,0.0193,394341,388,0.0162,224643,92,0.0011,61830985
2022年12月,屏東縣,117165605,271090,0.0369,683935,823,0.028,1060214,347,0.0054,118909754
2022年12月,台東縣,31959287,68075,0.0101,110712,125,0.0045,197595,65,0.001,32267594
2022年12月,花蓮縣,48452993,100912,0.0152,70116,56,0.0029,355010,146,0.0018,48878119
2022年12月,基隆市,50746553,101898,0.016,233670,242,0.0096,2847849,915,0.0144,53828072
2022年12月,新竹市,59426987,115878,0.0187,242986,227,0.01,4931320,933,0.0249,64601293
2022年12月,嘉義市,37047865,82746,0.0117,212365,187,0.0087,654195,230,0.0033,37914425
2022年12月,澎湖縣,12823946,25379,0.004,83303,82,0.0034,50150,17,0.0003,12957399
2022年12月,金門縣,8024420,14987,0.0025,87667,95,0.0036,36662,41,0.0002,8148749
2022年12月,連江縣,1758511,2339,0.0006,21383,24,0.0009,7651,11,0,1787545
2022年12月,合計,3177717380,6641694,1,24390011,20412,1,198154512,38528,1,3400261903
2022年11月,新北市,651082747,964403,0.1593,5460016,3352,0.2021,53370625,11240,0.2801,709913388
2022年11月,台北市,408083056,543155,0.0999,2030743,1549,0.0752,36913537,7630,0.1937,447027336
2022年11月,桃園市,349999519,561906,0.0857,2649891,1627,0.0981,21996657,3890,0.1154,374646067
2022年11月,台中市,516594068,798414,0.1264,4994656,3494,0.1849,26857034,4801,0.141,548445758
2022年11月,台南市,355900888,633264,0.0871,1777462,1581,0.0658,9298731,1514,0.0488,366977081
2022年11月,高雄市,571600103,963514,0.1399,2943328,2713,0.1089,23355763,4469,0.1226,597899194
2022年11月,宜蘭縣,75923683,146309,0.0186,454059,421,0.0168,1262576,312,0.0066,77640318
2022年11月,新竹縣,98098552,165547,0.024,576955,444,0.0214,5035314,864,0.0264,103710821
2022年11月,苗栗縣,94632502,185109,0.0232,407662,466,0.0151,699344,192,0.0037,95739508
2022年11月,彰化縣,214730582,421262,0.0526,2150911,2154,0.0796,1270666,399,0.0067,218152159
2022年11月,南投縣,70122703,140054,0.0172,437425,442,0.0162,286711,116,0.0015,70846839
2022年11月,雲林縣,126542397,275502,0.031,685690,654,0.0254,399977,195,0.0021,127628064
2022年11月,嘉義縣,86262752,185533,0.0211,476525,476,0.0176,216014,92,0.0011,86955291
2022年11月,屏東縣,153460834,292093,0.0376,768081,883,0.0284,996758,348,0.0052,155225673
2022年11月,台東縣,34716135,61451,0.0085,108416,124,0.004,185670,65,0.001,35010221
2022年11月,花蓮縣,55120430,95452,0.0135,129369,57,0.0048,330749,144,0.0017,55580548
2022年11月,基隆市,53159858,90306,0.013,225000,241,0.0083,2717013,914,0.0143,56101871
2022年11月,新竹市,89604489,137988,0.0219,301175,250,0.0111,4619709,931,0.0242,94525373
2022年11月,嘉義市,47481944,83609,0.0116,162903,187,0.006,635605,230,0.0033,48280452
2022年11月,澎湖縣,17630894,24707,0.0043,144202,133,0.0053,50867,17,0.0003,17825963
2022年11月,金門縣,12562955,18696,0.0031,104237,85,0.0039,32922,41,0.0002,12700114
2022年11月,連江縣,2592026,2054,0.0006,30967,19,0.0011,7157,11,0,2630150
2022年11月,合計,4085903117,6790328,1,27019673,21352,1,190539399,38415,1,4303462189
2022年10月,新北市,880653623,962200,0.1727,6296506,3181,0.1968,60089759,11223,0.2794,947039888
2022年10月,台北市,528584700,510173,0.1036,2500931,1511,0.0782,43184999,7621,0.2008,574270630
2022年10月,桃園市,544945997,640553,0.1069,3575287,1776,0.1117,24634360,3879,0.1145,573155644
2022年10月,台中市,647627607,814380,0.127,6062354,3408,0.1895,30208532,4794,0.1404,683898493
2022年10月,台南市,434760719,627916,0.0853,2258551,1675,0.0706,10239093,1514,0.0476,447258363
2022年10月,高雄市,517502342,744644,0.1015,2903339,2332,0.0907,24907068,4458,0.1158,545312749
2022年10月,宜蘭縣,109798501,157498,0.0215,549889,380,0.0172,1417542,312,0.0066,111765932
2022年10月,新竹縣,148376670,176952,0.0291,911513,435,0.0285,5796439,862,0.0269,155084622
2022年10月,苗栗縣,111031153,169751,0.0218,424298,326,0.0133,815199,190,0.0038,112270650
2022年10月,彰化縣,267224646,408845,0.0524,2639605,2375,0.0825,1416524,398,0.0066,271280775
2022年10月,南投縣,100805097,170548,0.0198,621821,515,0.0194,296309,113,0.0014,101723227
2022年10月,雲林縣,145442502,280858,0.0285,501491,456,0.0157,452429,195,0.0021,146396422
2022年10月,嘉義縣,91325636,178785,0.0179,449655,389,0.0141,247814,92,0.0012,92023105
2022年10月,屏東縣,164296322,270413,0.0322,831964,825,0.026,1065647,340,0.005,166193933
2022年10月,台東縣,48880199,67894,0.0096,156689,125,0.0049,204272,64,0.0009,49241160
2022年10月,花蓮縣,77888142,100577,0.0153,103348,56,0.0032,357838,143,0.0017,78349328
2022年10月,基隆市,81740174,101539,0.016,344310,242,0.0108,2939447,908,0.0137,85023931
2022年10月,新竹市,103218961,115737,0.0202,326347,232,0.0102,6023690,933,0.028,109568998
2022年10月,嘉義市,57395738,82677,0.0113,258112,188,0.0081,697136,230,0.0032,58350986
2022年10月,澎湖縣,21166516,25300,0.0042,114112,80,0.0036,56394,17,0.0003,21337022
2022年10月,金門縣,14202832,14947,0.0028,130417,94,0.0041,31464,41,0.0001,14364713
2022年10月,連江縣,2917233,2337,0.0006,33098,26,0.001,8887,11,0,2959218
2022年10月,合計,5099785310,6624524,1,31993637,20627,1,215090842,38338,1,5346869789
2022年09月,新北市,1031935421,962658,0.1789,7294402,3368,0.2117,67351382,11200,0.2808,1106581205
2022年09月,台北市,644770084,542913,0.1118,2786101,1562,0.0808,49990154,7606,0.2084,697546339
2022年09月,桃園市,525587715,560325,0.0911,3449463,1637,0.1001,28543072,3863,0.119,557580250
2022年09月,台中市,704371439,796650,0.1221,6171810,3523,0.1791,32601003,4775,0.1359,743144252
2022年09月,台南市,453926938,631416,0.0787,2072970,1590,0.0602,10789216,1511,0.045,466789124
2022年09月,高雄市,726985347,961561,0.126,3733590,2910,0.1083,27037589,4453,0.1127,757756526
2022年09月,宜蘭縣,115468713,145886,0.02,619503,425,0.018,1577085,312,0.0066,117665301
2022年09月,新竹縣,146182765,164789,0.0253,770207,448,0.0223,6677391,859,0.0278,153630363
2022年09月,苗栗縣,141801621,184749,0.0246,539241,469,0.0156,897023,190,0.0037,143237885
2022年09月,彰化縣,285826518,420201,0.0495,2673224,2168,0.0776,1640449,397,0.0068,290140191
2022年09月,南投縣,84545039,139771,0.0147,532709,447,0.0155,319825,113,0.0013,85397573
2022年09月,雲林縣,160286865,274904,0.0278,780407,656,0.0226,487341,195,0.002,161554613
2022年09月,嘉義縣,108454465,185178,0.0188,559074,477,0.0162,255511,91,0.0011,109269050
2022年09月,屏東縣,187456197,291397,0.0325,897603,887,0.026,1130936,340,0.0047,189484736
2022年09月,台東縣,46319869,61297,0.008,145000,125,0.0042,236033,64,0.001,46700902
2022年09月,花蓮縣,78446072,95198,0.0136,158634,56,0.0046,398975,144,0.0017,79003681
2022年09月,基隆市,80250200,90317,0.0139,315306,241,0.0091,3201010,911,0.0133,83766516
2022年09月,新竹市,137990889,137847,0.0239,400308,251,0.0116,5905653,930,0.0246,144296850
2022年09月,嘉義市,62323841,83512,0.0108,200497,190,0.0058,734901,230,0.0031,63259239
2022年09月,澎湖縣,25216266,24581,0.0044,179262,135,0.0052,65040,17,0.0003,25460568
2022年09月,金門縣,17392292,18594,0.003,135647,86,0.0039,36467,42,0.0002,17564406
2022年09月,連江縣,3937733,2040,0.0007,47534,19,0.0014,10366,11,0,3995633
2022年09月,合計,5769476289,6775784,1,34462492,21670,1,239886422,38254,1,6043825203
2022年08月,新北市,882037879,960486,0.174,6146559,3229,0.1954,61005467,11175,0.2812,949189905
2022年08月,台北市,529712850,509879,0.1045,2390348,1519,0.076,45744752,7598,0.2109,577847950
2022年08月,桃園市,547355373,639515,0.108,3410082,1784,0.1084,25841356,3851,0.1191,576606811
2022年08月,台中市,627772855,811206,0.1239,6043596,3434,0.1921,29246918,4758,0.1348,663063369
2022年08月,台南市,436081259,626461,0.0861,2183909,1686,0.0694,9638857,1501,0.0444,447904025
2022年08月,高雄市,521247667,743262,0.1029,3019264,2467,0.096,24119050,4444,0.1112,548385981
2022年08月,宜蘭縣,108960623,156941,0.0215,544350,382,0.0173,1448659,312,0.0067,110953632
2022年08月,新竹縣,146998194,176295,0.029,879431,438,0.028,6035148,852,0.0278,153912773
2022年08月,苗栗縣,111042291,169457,0.0219,426685,327,0.0136,824032,190,0.0038,112293008
2022年08月,彰化縣,257617508,408061,0.0508,2626298,2400,0.0835,1444234,398,0.0067,261688040
2022年08月,南投縣,96899921,169998,0.0191,608702,518,0.0193,288048,113,0.0013,97796671
2022年08月,雲林縣,142279639,280135,0.0281,520313,458,0.0165,450119,194,0.0021,143250071
2022年08月,嘉義縣,90042042,178562,0.0178,466520,395,0.0148,246019,91,0.0011,90754581
2022年08月,屏東縣,166425397,269931,0.0328,808510,827,0.0257,1041793,340,0.0048,168275700
2022年08月,台東縣,48608918,67694,0.0096,153292,125,0.0049,207789,64,0.001,48969999
2022年08月,花蓮縣,76622080,100225,0.0151,95238,55,0.003,362312,144,0.0017,77079630
2022年08月,基隆市,79830492,101510,0.0158,328401,245,0.0104,2903719,911,0.0134,83062612
2022年08月,新竹市,104416997,115604,0.0206,315640,234,0.01,5328982,929,0.0246,110061619
2022年08月,嘉義市,58309221,82559,0.0115,243258,187,0.0077,672222,230,0.0031,59224701
2022年08月,澎湖縣,19833983,25173,0.0039,106396,80,0.0034,59814,17,0.0003,20000193
2022年08月,金門縣,12784079,14880,0.0025,111986,94,0.0036,33750,42,0.0002,12929815
2022年08月,連江縣,2851465,2335,0.0006,31638,28,0.001,9464,11,0,2892567
2022年08月,合計,5067730733,6610169,1,31460416,20912,1,216952504,38165,1,5316143653
2022年07月,新北市,727797077,960760,0.1634,5806211,3395,0.2017,58381543,11158,0.2789,791984831
2022年07月,台北市,452010313,542016,0.1015,2117935,1591,0.0736,42959341,7591,0.2052,497087589
2022年07月,桃園市,387363551,557745,0.0869,2834961,1646,0.0985,24508107,3842,0.1171,414706619
2022年07月,台中市,548725676,794521,0.1232,5252398,3541,0.1825,28648616,4747,0.1369,582626690
2022年07月,台南市,387292227,629430,0.0869,1882485,1601,0.0654,9656970,1498,0.0461,398831682
2022年07月,高雄市,632199659,959880,0.1419,3408919,2973,0.1184,24533198,4436,0.1172,660141776
2022年07月,宜蘭縣,82174528,145359,0.0184,466794,431,0.0162,1314043,311,0.0063,83955365
2022年07月,新竹縣,106729872,163366,0.024,566118,453,0.0197,5726913,845,0.0274,113022903
2022年07月,苗栗縣,104757741,184301,0.0235,460085,471,0.016,788667,189,0.0038,106006493
2022年07月,彰化縣,223382085,419293,0.0501,2355510,2190,0.0818,1474474,396,0.007,227212069
2022年07月,南投縣,71528340,139394,0.0161,459875,450,0.016,297280,113,0.0014,72285495
2022年07月,雲林縣,130150236,274194,0.0292,663435,660,0.023,442076,193,0.0021,131255747
2022年07月,嘉義縣,89653123,184646,0.0201,497267,482,0.0173,242830,91,0.0012,90393220
2022年07月,屏東縣,168116950,290714,0.0377,782829,884,0.0272,1024608,339,0.0049,169924387
2022年07月,台東縣,38420832,61123,0.0086,123890,127,0.0043,199732,64,0.001,38744454
2022年07月,花蓮縣,59297035,94956,0.0133,119186,56,0.0041,367168,144,0.0018,59783389
2022年07月,基隆市,56479457,90266,0.0127,226205,241,0.0079,2821063,912,0.0135,59526725
2022年07月,新竹市,101504765,137447,0.0228,318965,257,0.0111,5141358,926,0.0246,106965088
2022年07月,嘉義市,52696986,83396,0.0118,170707,189,0.0059,688062,230,0.0033,53555755
2022年07月,澎湖縣,19842746,24523,0.0045,147494,136,0.0051,58384,17,0.0003,20048624
2022年07月,金門縣,12339208,18516,0.0028,92327,87,0.0032,32418,43,0.0002,12463953
2022年07月,連江縣,2955313,2037,0.0007,34307,19,0.0012,8903,11,0,2998523
2022年07月,合計,4455417720,6757883,1,28787903,21880,1,209315754,38096,1,4693521377
2022年06月,新北市,572751586,959068,0.1624,4656962,3231,0.1872,54810704,11140,0.2779,632219252
2022年06月,台北市,336044685,509583,0.0953,1746725,1538,0.0702,39156732,7589,0.1985,376948142
2022年06月,桃園市,371068464,637831,0.1052,2703158,1796,0.1087,22892226,3820,0.1161,396663848
2022年06月,台中市,447150099,808627,0.1268,4932644,3441,0.1983,27086873,4735,0.1373,479169616
2022年06月,台南市,316389726,624817,0.0897,1813510,1689,0.0729,9656958,1496,0.049,327860194
2022年06月,高雄市,387883566,741976,0.11,2535767,2478,0.102,23845257,4421,0.1209,414264590
2022年06月,宜蘭縣,73693520,156559,0.0209,387830,375,0.0156,1257772,309,0.0064,75339122
2022年06月,新竹縣,98723250,175722,0.028,656837,451,0.0264,5336843,842,0.0271,104716930
2022年06月,苗栗縣,75238488,168990,0.0213,318188,329,0.0128,746720,189,0.0038,76303396
2022年06月,彰化縣,184860946,407480,0.0524,2158997,2415,0.0868,1449999,396,0.0074,188469942
2022年06月,南投縣,77398497,169658,0.0219,482580,523,0.0194,291566,113,0.0015,78172643
2022年06月,雲林縣,108399063,279726,0.0307,361296,457,0.0145,402846,193,0.002,109163205
2022年06月,嘉義縣,67922471,178309,0.0193,367381,401,0.0148,224183,91,0.0011,68514035
2022年06月,屏東縣,131762715,269517,0.0374,690946,828,0.0278,1032161,339,0.0052,133485822
2022年06月,台東縣,35347372,67527,0.01,119867,125,0.0048,188049,64,0.001,35655288
2022年06月,花蓮縣,54158156,99923,0.0154,73050,56,0.0029,348316,144,0.0018,54579522
2022年06月,基隆市,53983274,101369,0.0153,234750,248,0.0094,2688784,912,0.0136,56906808
2022年06月,新竹市,68320817,115261,0.0194,241851,234,0.0097,5051741,924,0.0256,73614409
2022年06月,嘉義市,40751636,82266,0.0116,201678,189,0.0081,671048,229,0.0034,41624362
2022年06月,澎湖縣,13984227,25131,0.004,76659,80,0.0031,57640,17,0.0003,14118526
2022年06月,金門縣,8813346,14846,0.0025,87351,94,0.0035,31971,42,0.0002,8932668
2022年06月,連江縣,1993781,2320,0.0006,23432,28,0.0009,7936,11,0,2025149
2022年06月,合計,3526639685,6596506,1,24871459,21006,1,197236325,38016,1,3748747469
2022年05月,新北市,493350602,958760,0.1591,4450740,3404,0.1993,50531518,11123,0.2817,548332860
2022年05月,台北市,306338110,540923,0.0988,1557720,1600,0.0697,34734405,7565,0.1936,342630235
2022年05月,桃園市,284545737,554929,0.0918,2234750,1658,0.1,20748914,3802,0.1157,307529401
2022年05月,台中市,379439857,792380,0.1224,4175142,3564,0.1869,24553041,4724,0.1369,408168040
2022年05月,台南市,261772177,627894,0.0844,1437287,1608,0.0643,8779954,1494,0.0489,271989418
2022年05月,高雄市,420030428,956202,0.1355,2679618,2985,0.12,22084221,4409,0.1231,444794267
2022年05月,宜蘭縣,59407122,144967,0.0192,343485,427,0.0154,1144353,310,0.0064,60894960
2022年05月,新竹縣,76328536,162634,0.0246,438400,455,0.0196,4744536,839,0.0264,81511472
